"city","city_ibge_code","date","epidemiological_week","estimated_population","estimated_population_2019","is_last","is_repeated","last_available_confirmed","last_available_confirmed_per_100k_inhabitants","last_available_date","last_available_death_rate","last_available_deaths","order_for_place","place_type","state","new_confirmed","new_deaths"
NA,16,2020-04-13,16,861773,845731,FALSE,FALSE,244,28.31372,2020-04-13,0.0246,6,25,"state","AP",7,1
"Macapá",1600303,2020-04-14,16,512902,503327,FALSE,FALSE,261,50.88691,2020-04-14,0.0192,5,26,"city","AP",50,1
"Mazagão",1600402,2020-04-14,16,22053,21632,FALSE,FALSE,1,4.53453,2020-04-14,0,0,1,"city","AP",1,0
"Oiapoque",1600501,2020-04-14,16,27906,27270,FALSE,FALSE,2,7.16692,2020-04-14,0,0,11,"city","AP",0,0
"Porto Grande",1600535,2020-04-14,16,22452,21971,FALSE,FALSE,1,4.45395,2020-04-14,0,0,1,"city","AP",1,0
"Santana",1600600,2020-04-14,16,123096,121364,FALSE,FALSE,41,33.30734,2020-04-14,0.0488,2,10,"city","AP",10,0
"Vitória do Jari",1600808,2020-04-14,16,16254,15931,FALSE,FALSE,2,12.30466,2020-04-14,0,0,1,"city","AP",2,0
NA,16,2020-04-14,16,861773,845731,FALSE,FALSE,308,35.74027,2020-04-14,0.0227,7,26,"state","AP",64,1
"Laranjal do Jari",1600279,2020-04-15,16,51362,50410,FALSE,FALSE,1,1.94696,2020-04-15,0,0,1,"city","AP",1,0
"Macapá",1600303,2020-04-15,16,512902,503327,FALSE,FALSE,290,56.54102,2020-04-15,0.0172,5,27,"city","AP",29,0
"Mazagão",1600402,2020-04-15,16,22053,21632,FALSE,FALSE,1,4.53453,2020-04-15,0,0,2,"city","AP",0,0
"Oiapoque",1600501,2020-04-15,16,27906,27270,FALSE,FALSE,2,7.16692,2020-04-15,0,0,12,"city","AP",0,0
"Porto Grande",1600535,2020-04-15,16,22452,21971,FALSE,FALSE,1,4.45395,2020-04-15,0,0,2,"city","AP",0,0
"Santana",1600600,2020-04-15,16,123096,121364,FALSE,FALSE,43,34.93209,2020-04-15,0.0465,2,11,"city","AP",2,0
"Vitória do Jari",1600808,2020-04-15,16,16254,15931,FALSE,FALSE,2,12.30466,2020-04-15,0,0,2,"city","AP",0,0
NA,16,2020-04-15,16,861773,845731,FALSE,FALSE,342,39.68562,2020-04-15,0.0205,7,27,"state","AP",34,0
"Laranjal do Jari",1600279,2020-04-16,16,51362,50410,FALSE,FALSE,2,3.89393,2020-04-16,0,0,2,"city","AP",1,0
"Macapá",1600303,2020-04-16,16,512902,503327,FALSE,FALSE,303,59.07561,2020-04-16,0.0264,8,28,"city","AP",13,3
"Mazagão",1600402,2020-04-16,16,22053,21632,FALSE,FALSE,2,9.06906,2020-04-16,0,0,3,"city","AP",1,0
"Oiapoque",1600501,2020-04-16,16,27906,27270,FALSE,FALSE,4,14.33384,2020-04-16,0,0,13,"city","AP",2,0
"Porto Grande",1600535,2020-04-16,16,22452,21971,FALSE,FALSE,1,4.45395,2020-04-16,0,0,3,"city","AP",0,0
"Santana",1600600,2020-04-16,16,123096,121364,FALSE,FALSE,48,38.99396,2020-04-16,0.0417,2,12,"city","AP",5,0
"Vitória do Jari",1600808,2020-04-16,16,16254,15931,FALSE,FALSE,2,12.30466,2020-04-16,0,0,3,"city","AP",0,0
NA,16,2020-04-16,16,861773,845731,FALSE,FALSE,362,42.00642,2020-04-16,0.0276,10,28,"state","AP",20,3
"Laranjal do Jari",1600279,2020-04-17,16,51362,50410,FALSE,FALSE,2,3.89393,2020-04-17,0,0,3,"city","AP",0,0
"Macapá",1600303,2020-04-17,16,512902,503327,FALSE,FALSE,312,60.83033,2020-04-17,0.0256,8,29,"city","AP",9,0
"Mazagão",1600402,2020-04-17,16,22053,21632,FALSE,FALSE,2,9.06906,2020-04-17,0,0,4,"city","AP",0,0
